"מועדון","שם","מפתח","סוג","ממצא","פירוט","עונות במאגר","עונות ויקיפדיה","עונות התאחדות","עונות worldfootball","עמדה מאגר","עמדה ויקיפדיה","עמדה wf","לידה מאגר","לידה ויקיפדיה","לידה wf","תיקון מוצע"
"באר־שבעdle","גד עובדיה","36388","עמדה","אין בשום מקור","","09/10","-","09/10","-","","","","","","",""
"באר־שבעdle","גד עובדיה","36388","שנת לידה","אין בשום מקור","","09/10","-","09/10","-","","","","","","",""
"באר־שבעdle","גיל בלומשטיין","26261","עמדה","אין בשום מקור","","09/10","-","09/10","-","","","","","","",""
"באר־שבעdle","גיל בלומשטיין","26261","שנת לידה","אין בשום מקור","","09/10","-","09/10","-","","","","","","",""
"באר־שבעdle","דנילו מורירה","103942","עמדה","אין בשום מקור","","09/10","-","09/10","-","","","","","","",""
"באר־שבעdle","דנילו מורירה","103942","שנת לידה","אין בשום מקור","","09/10","-","09/10","-","","","","","","",""
"באר־שבעdle","ויליאם סוארס","85140","עונות","סתירה","ויקיפדיה מוסיפה 17/18 · המאגר מוסיף 09/10, 16/17","09/10-16/17","10/11-15/16, 17/18","10/11-16/17","-","DF","","","1985","","",""
"באר־שבעdle","ויליאם סוארס","85140","זהות","שני ערכים באותו שם","בוויקיפדיה יש יותר מערך אחד בשם הזה — אין תיקון אוטומטי","09/10-16/17","10/11-15/16, 17/18","10/11-16/17","-","DF","","","1985","","",""
"באר־שבעdle","חגי יצחק","10571","עמדה","אין בשום מקור","","09/10","-","09/10","-","","","","","","",""
"באר־שבעdle","חגי יצחק","10571","שנת לידה","אין בשום מקור","","09/10","-","09/10","-","","","","","","",""
"באר־שבעdle","טברטקו קאלה","72098","זהות","שני ערכים באותו שם","בוויקיפדיה יש יותר מערך אחד בשם הזה — אין תיקון אוטומטי","09/10","09/10","09/10","09/10","GK","","GK","1974","","1974",""
"באר־שבעdle","ליאל זגורי","72977","עמדה","אין בשום מקור","","09/10-10/11","-","09/10-10/11","-","","","","","","",""
"באר־שבעdle","ליאל זגורי","72977","שנת לידה","אין בשום מקור","","09/10-10/11","-","09/10-10/11","-","","","","","","",""
"באר־שבעdle","מוחמד אדאמו","104333","עמדה","אין בשום מקור","","09/10","-","09/10","-","","","","","","",""
"באר־שבעdle","מוחמד אדאמו","104333","שנת לידה","אין בשום מקור","","09/10","-","09/10","-","","","","","","",""
"באר־שבעdle","מרקוס גלרזה","110347","עמדה","אין בשום מקור","","09/10","-","09/10","-","","","","","","",""
"באר־שבעdle","מרקוס גלרזה","110347","שנת לידה","אין בשום מקור","","09/10","-","09/10","-","","","","","","",""
"באר־שבעdle","מתן בטיטו","10557","עמדה","אין בשום מקור","","09/10","-","09/10","-","","","","","","",""
"באר־שבעdle","מתן בטיטו","10557","שנת לידה","אין בשום מקור","","09/10","-","09/10","-","","","","","","",""
"באר־שבעdle","סראג נסאר","34848","עמדה","אין בשום מקור","","09/10-14/15","-","09/10-14/15","-","","","","","","",""
"באר־שבעdle","סראג נסאר","34848","שנת לידה","אין בשום מקור","","09/10-14/15","-","09/10-14/15","-","","","","","","",""
"באר־שבעdle","ראיין אדליי","104444","עונות","המאגר קצר מדי","חסרות 12/13","09/10-11/12","09/10-12/13","09/10-11/12","-","DF","DF","","1987","1987","","""104444"": { ""spells"": [[2010,2013]] }"
"באר־שבעdle","שי לוק","10573","עמדה","אין בשום מקור","","09/10-10/11","-","09/10-10/11","-","","","","","","",""
"באר־שבעdle","שי לוק","10573","שנת לידה","אין בשום מקור","","09/10-10/11","-","09/10-10/11","-","","","","","","",""
"באר־שבעdle","איברהים בסיט","","עונות","המאגר קצר מדי","חסרות 11/12","10/11","10/11-11/12","-","-","FW","FW","","1990","1990","","""איברהים בסיט"": { ""spells"": [[2011,2012]] }"
"באר־שבעdle","איברהים ראזק","111911","עמדה","אין בשום מקור","","10/11","-","10/11","-","","","","","","",""
"באר־שבעdle","איברהים ראזק","111911","שנת לידה","אין בשום מקור","","10/11","-","10/11","-","","","","","","",""
"באר־שבעdle","בסיט אברהם","102747","עמדה","אין בשום מקור","","10/11","-","10/11","-","","","","","","",""
"באר־שבעdle","בסיט אברהם","102747","שנת לידה","אין בשום מקור","","10/11","-","10/11","-","","","","","","",""
"באר־שבעdle","גיימס ביסו","111801","עמדה","אין בשום מקור","","10/11","-","10/11","-","","","","","","",""
"באר־שבעdle","גיימס ביסו","111801","שנת לידה","אין בשום מקור","","10/11","-","10/11","-","","","","","","",""
"באר־שבעdle","דובב גבאי","13202","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 10/11 — ייתכן שאלה עונות השאלה","10/11-14/15","11/12-14/15","10/11-14/15","11/12-14/15","FW","FW","FW","1987","1987","1987",""
"באר־שבעdle","דוד קרב","37062","עמדה","אין בשום מקור","","10/11","-","10/11","-","","","","","","",""
"באר־שבעdle","דוד קרב","37062","שנת לידה","אין בשום מקור","","10/11","-","10/11","-","","","","","","",""
"באר־שבעdle","דין אוחנה","46045","עמדה","אין בשום מקור","","10/11","-","10/11","-","","","","","","",""
"באר־שבעdle","דין אוחנה","46045","שנת לידה","אין בשום מקור","","10/11","-","10/11","-","","","","","","",""
"באר־שבעdle","דניאל ליפשיץ","34684","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 10/11 — ייתכן שאלה עונות השאלה","10/11-11/12","11/12","10/11-11/12","10/11-11/12","GK","GK","GK","1988","1988","1988",""
"באר־שבעdle","יוסף טורזמן","8498","עמדה","אין בשום מקור","","10/11-11/12","-","10/11-11/12","-","","","","","","",""
"באר־שבעdle","יוסף טורזמן","8498","שנת לידה","אין בשום מקור","","10/11-11/12","-","10/11-11/12","-","","","","","","",""
"באר־שבעdle","יחיאל צגאי","","עונות","סתירה","ויקיפדיה מוסיפה 02/03-06/07, 11/12 · המאגר מוסיף 10/11","10/11","02/03-06/07, 11/12","-","-","MF","MF","","1983","1983","",""
"באר־שבעdle","ליאור ז'אן","8481","זהות","שני ערכים באותו שם","בוויקיפדיה יש יותר מערך אחד בשם הזה — אין תיקון אוטומטי","10/11","10/11","10/11","10/11","DF","","DF","1986","","1986",""
"באר־שבעdle","מור בן עמי","35778","עמדה","אין בשום מקור","","10/11","-","10/11","-","","","","","","",""
"באר־שבעdle","מור בן עמי","35778","שנת לידה","אין בשום מקור","","10/11","-","10/11","-","","","","","","",""
"באר־שבעdle","צחי מחלוף","10582","עמדה","אין בשום מקור","","10/11","-","10/11","-","","","","","","",""
"באר־שבעdle","צחי מחלוף","10582","שנת לידה","אין בשום מקור","","10/11","-","10/11","-","","","","","","",""
"באר־שבעdle","שמעון לוגסי","47563","עמדה","אין בשום מקור","","10/11-11/12","-","10/11-11/12","-","","","","","","",""
"באר־שבעdle","שמעון לוגסי","47563","שנת לידה","אין בשום מקור","","10/11-11/12","-","10/11-11/12","-","","","","","","",""
"באר־שבעdle","איוון פינזון","94648","עמדה","אין בשום מקור","","11/12","-","11/12","-","","","","","","",""
"באר־שבעdle","איוון פינזון","94648","שנת לידה","אין בשום מקור","","11/12","-","11/12","-","","","","","","",""
"באר־שבעdle","אלירן סולימנפור","22548","עמדה","אין בשום מקור","","11/12-12/13","-","11/12-12/13","-","","","","","","",""
"באר־שבעdle","אלירן סולימנפור","22548","שנת לידה","אין בשום מקור","","11/12-12/13","-","11/12-12/13","-","","","","","","",""
"באר־שבעdle","גל דהן","79224","עמדה","אין בשום מקור","","11/12-12/13","-","11/12-12/13","-","","","","","","",""
"באר־שבעdle","גל דהן","79224","שנת לידה","אין בשום מקור","","11/12-12/13","-","11/12-12/13","-","","","","","","",""
"באר־שבעdle","דיא סבע","12585","עונות","סתירה","ויקיפדיה מוסיפה 12/13, 18/19 · המאגר מוסיף 11/12","11/12","12/13, 18/19","11/12","-","FW","FW","","1992","1992","",""
"באר־שבעdle","דראשקו בוז'וביץ'","134196","עונות","סתירה","ויקיפדיה מוסיפה 12/13 · המאגר מוסיף 11/12","11/12","12/13","11/12","11/12","MF","MF","MF","1988","1988","1988",""
"באר־שבעdle","יוסף אבו לבן","46154","עונות","המאגר קצר מדי","חסרות 13/14-14/15","11/12-12/13","11/12-14/15","11/12-12/13","11/12-12/13","FW","FW","FW","1992","1992","1992","""46154"": { ""spells"": [[2012,2015]] }"
"באר־שבעdle","יצחק וקנין","76069","עמדה","אין בשום מקור","","11/12","-","11/12","-","","","","","","",""
"באר־שבעdle","יצחק וקנין","76069","שנת לידה","אין בשום מקור","","11/12","-","11/12","-","","","","","","",""
"באר־שבעdle","ירדן אבוחצירה","48702","עמדה","אין בשום מקור","","11/12","-","11/12","-","","","","","","",""
"באר־שבעdle","ירדן אבוחצירה","48702","שנת לידה","אין בשום מקור","","11/12","-","11/12","-","","","","","","",""
"באר־שבעdle","ננאד קיסו","134059","עמדה","אין בשום מקור","","11/12","-","11/12","-","","","","","","",""
"באר־שבעdle","ננאד קיסו","134059","שנת לידה","אין בשום מקור","","11/12","-","11/12","-","","","","","","",""
"באר־שבעdle","פטר גרביץ'","134195","עונות","סתירה","ויקיפדיה מוסיפה 12/13 · המאגר מוסיף 11/12","11/12","12/13","11/12","-","FW","FW","","1988","1988","",""
"באר־שבעdle","בוגאן מרקוביץ","135061","עמדה","אין בשום מקור","","12/13","-","12/13","-","","","","","","",""
"באר־שבעdle","בוגאן מרקוביץ","135061","שנת לידה","אין בשום מקור","","12/13","-","12/13","-","","","","","","",""
"באר־שבעdle","בן ביטון","16607","עונות","סתירה","ויקיפדיה מוסיפה 20/21 · המאגר מוסיף 12/13","12/13-19/20","13/14-20/21","13/14-19/20","12/13-14/15","MF","DF","MF","1991","1991","1991",""
"באר־שבעdle","בן ביטון","16607","עמדה","סתירה","מאגר: MF · ויקיפדיה: DF · worldfootball: MF","12/13-19/20","13/14-20/21","13/14-19/20","12/13-14/15","MF","DF","MF","1991","1991","1991",""
"באר־שבעdle","בן והבה","27026","עונות","סתירה","ויקיפדיה מוסיפה 13/14 · המאגר מוסיף 12/13","12/13","13/14","12/13","-","DF","DF","","1992","1992","",""
"באר־שבעdle","יונתן אוזן","48707","עמדה","אין בשום מקור","","12/13-13/14","-","12/13-13/14","-","","","","","","",""
"באר־שבעdle","יונתן אוזן","48707","שנת לידה","אין בשום מקור","","12/13-13/14","-","12/13-13/14","-","","","","","","",""
"באר־שבעdle","יקיר אזולאי","121567","עמדה","אין בשום מקור","","12/13","-","12/13","-","","","","","","",""
"באר־שבעdle","יקיר אזולאי","121567","שנת לידה","אין בשום מקור","","12/13","-","12/13","-","","","","","","",""
"באר־שבעdle","מזי אוסייקו","135495","עמדה","אין בשום מקור","","12/13","-","12/13","-","","","","","","",""
"באר־שבעdle","מזי אוסייקו","135495","שנת לידה","אין בשום מקור","","12/13","-","12/13","-","","","","","","",""
"באר־שבעdle","ניקולאס פלזוק","112783","עמדה","אין בשום מקור","","12/13-13/14","-","12/13-13/14","-","","","","","","",""
"באר־שבעdle","ניקולאס פלזוק","112783","שנת לידה","אין בשום מקור","","12/13-13/14","-","12/13-13/14","-","","","","","","",""
"באר־שבעdle","ניקולאס פלצ'וק","","עמדה","סתירה","מאגר: FW · ויקיפדיה: MF","12/13-13/14","12/13-13/14","-","-","FW","MF","","1986","1986","",""
"באר־שבעdle","סהר שבתאי","46936","עמדה","אין בשום מקור","","12/13","-","12/13","-","","","","","","",""
"באר־שבעdle","סהר שבתאי","46936","שנת לידה","אין בשום מקור","","12/13","-","12/13","-","","","","","","",""
"באר־שבעdle","פיראס עווד","66566","עמדה","אין בשום מקור","","12/13","-","12/13","-","","","","","","",""
"באר־שבעdle","פיראס עווד","66566","שנת לידה","אין בשום מקור","","12/13","-","12/13","-","","","","","","",""
"באר־שבעdle","רביד גזל","1618","עונות","סתירה","ויקיפדיה מוסיפה 13/14 · המאגר מוסיף 12/13","12/13","13/14","12/13","12/13","MF","MF","MF","1982","1982","1982",""
"באר־שבעdle","תומר סויסה","12556","עונות","המאגר קצר מדי","חסרות 14/15","12/13-13/14","12/13-14/15","12/13-13/14","12/13-13/14","MF","FW","MF","1988","1988","1988","""12556"": { ""spells"": [[2013,2015]] }"
"באר־שבעdle","תומר סויסה","12556","עמדה","סתירה","מאגר: MF · ויקיפדיה: FW · worldfootball: MF","12/13-13/14","12/13-14/15","12/13-13/14","12/13-13/14","MF","FW","MF","1988","1988","1988",""
"באר־שבעdle","אור חביביאן","101526","עמדה","אין בשום מקור","","13/14-15/16","-","13/14-15/16","-","","","","","","",""
"באר־שבעdle","אור חביביאן","101526","שנת לידה","אין בשום מקור","","13/14-15/16","-","13/14-15/16","-","","","","","","",""
"באר־שבעdle","בן אלגרבלי","75592","עמדה","אין בשום מקור","","13/14","-","13/14","-","","","","","","",""
"באר־שבעdle","בן אלגרבלי","75592","שנת לידה","אין בשום מקור","","13/14","-","13/14","-","","","","","","",""
"באר־שבעdle","בן תורג'מן","11406","עונות","סתירה","ויקיפדיה מוסיפה 14/15, 19/20 · המאגר מוסיף 18/19","13/14, 15/16-16/17, 18/19","13/14-16/17, 19/20","13/14, 15/16-16/17, 18/19","13/14, 15/16-16/17, 18/19","DF","DF","DF","1989","1989","1989",""
"באר־שבעdle","גל אראל","23165","עונות","המאגר קצר מדי","חסרות 14/15","13/14","13/14-14/15","13/14","13/14","MF","MF","MF","1989","1989","1989","""23165"": { ""spells"": [[2014,2015]] }"
"באר־שבעdle","דוד הובר","","עונות","סתירה","ויקיפדיה מוסיפה 14/15 · המאגר מוסיף 13/14","13/14","14/15","-","-","MF","MF","","1988","1988","",""
"באר־שבעdle","דודי טויטו","56571","עונות","סתירה","ויקיפדיה מוסיפה 15/16-16/17 · המאגר מוסיף 13/14","13/14-14/15, 20/21","14/15-16/17, 20/21","13/14-14/15, 20/21","-","DF","","","1994","","",""
"באר־שבעdle","דודי טויטו","56571","זהות","שני ערכים באותו שם","בוויקיפדיה יש יותר מערך אחד בשם הזה — אין תיקון אוטומטי","13/14-14/15, 20/21","14/15-16/17, 20/21","13/14-14/15, 20/21","-","DF","","","1994","","",""
"באר־שבעdle","דיויד הוברט","154700","עמדה","אין בשום מקור","","13/14","-","13/14","-","","","","","","",""
"באר־שבעdle","דיויד הוברט","154700","שנת לידה","אין בשום מקור","","13/14","-","13/14","-","","","","","","",""
"באר־שבעdle","דרור טזזו","88802","עמדה","אין בשום מקור","","13/14","-","13/14","-","","","","","","",""
"באר־שבעdle","דרור טזזו","88802","שנת לידה","אין בשום מקור","","13/14","-","13/14","-","","","","","","",""
"באר־שבעdle","מאור בוזגלו","17719","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 17/18 — ייתכן שאלה עונות השאלה","13/14-17/18","13/14-16/17","13/14-16/17","13/14-16/17","FW","MF","FW","1988","1988","1988",""
"באר־שבעdle","מאור בוזגלו","17719","עמדה","סתירה","מאגר: FW · ויקיפדיה: MF · worldfootball: FW","13/14-17/18","13/14-16/17","13/14-16/17","13/14-16/17","FW","MF","FW","1988","1988","1988",""
"באר־שבעdle","שלומי בן חמו","15678","עמדה","אין בשום מקור","","13/14","-","13/14","-","","","","","","",""
"באר־שבעdle","שלומי בן חמו","15678","שנת לידה","אין בשום מקור","","13/14","-","13/14","-","","","","","","",""
"באר־שבעdle","אבירם אוחנה","65214","עמדה","אין בשום מקור","","14/15","-","14/15","-","","","","","","",""
"באר־שבעdle","אבירם אוחנה","65214","שנת לידה","אין בשום מקור","","14/15","-","14/15","-","","","","","","",""
"באר־שבעdle","אוגוצוקאו הוגו","155916","עמדה","אין בשום מקור","","14/15-18/19","-","14/15-18/19","-","","","","","","",""
"באר־שבעdle","אוגוצוקאו הוגו","155916","שנת לידה","אין בשום מקור","","14/15-18/19","-","14/15-18/19","-","","","","","","",""
"באר־שבעdle","דן ביטון","68917","עונות","המאגר קצר מדי","חסרות 16/17","14/15-15/16, 24/25-25/26","14/15-16/17, 24/25-25/26","14/15-15/16, 24/25-25/26","15/16, 24/25-25/26","MF","MF","MF","1995","1995","1995","""68917"": { ""spells"": [[2015,2017],[2025,2026]] }"
"באר־שבעdle","הדר ברד","92084","עמדה","אין בשום מקור","","14/15","-","14/15","-","","","","","","",""
"באר־שבעdle","הדר ברד","92084","שנת לידה","אין בשום מקור","","14/15","-","14/15","-","","","","","","",""
"באר־שבעdle","לואי טאהא","23186","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 14/15 — ייתכן שאלה עונות השאלה","14/15-20/21","15/16-20/21","14/15-20/21","14/15-20/21","DF","DF","DF","1989","1989","1989",""
"באר־שבעdle","רועי גורדנה","10213","עונות","המאגר קצר מדי","חסרות 15/16-16/17","14/15, 21/22-24/25","14/15-16/17, 21/22-24/25","14/15, 21/22-24/25","14/15, 21/22-24/25","MF","MF","MF","1990","1990","1990","""10213"": { ""spells"": [[2015,2017],[2022,2025]] }"
"באר־שבעdle","רן רובין","64268","עמדה","אין בשום מקור","","14/15-15/16","-","14/15-15/16","-","","","","","","",""
"באר־שבעdle","רן רובין","64268","שנת לידה","אין בשום מקור","","14/15-15/16","-","14/15-15/16","-","","","","","","",""
"באר־שבעdle","שלומי ארבייטמן","26717","עונות","המאגר קצר מדי","חסרות 15/16","14/15","14/15-15/16","14/15","14/15","FW","FW","FW","1985","1985","1985","""26717"": { ""spells"": [[2015,2016]] }"
"באר־שבעdle","אנתוני ואקמה","145696","זהות","שני ערכים באותו שם","בוויקיפדיה יש יותר מערך אחד בשם הזה — אין תיקון אוטומטי","15/16-17/18","15/16-17/18","15/16-17/18","-","FW","","","1989","","",""
"באר־שבעdle","בן שהר","12922","עונות","המאגר קצר מדי","חסרות 20/21","15/16-19/20","15/16-20/21","15/16-19/20","15/16-19/20","FW","FW","FW","1989","1989","1989","""12922"": { ""spells"": [[2016,2021]] }"
"באר־שבעdle","גל נבון","104916","עמדה","אין בשום מקור","","15/16-17/18","-","15/16-17/18","-","","","","","","",""
"באר־שבעdle","גל נבון","104916","שנת לידה","אין בשום מקור","","15/16-17/18","-","15/16-17/18","-","","","","","","",""
"באר־שבעdle","וובה בראון","","עונות","סתירה","ויקיפדיה מוסיפה 17/18 · המאגר מוסיף 15/16","15/16-16/17","16/17-17/18","-","-","FW","MF","","1989","1989","",""
"באר־שבעdle","וובה בראון","","עמדה","סתירה","מאגר: FW · ויקיפדיה: MF","15/16-16/17","16/17-17/18","-","-","FW","MF","","1989","1989","",""
"באר־שבעdle","ולדימיר ברואון","14685","עמדה","אין בשום מקור","","15/16-16/17","-","15/16-16/17","-","","","","","","",""
"באר־שבעdle","ולדימיר ברואון","14685","שנת לידה","אין בשום מקור","","15/16-16/17","-","15/16-16/17","-","","","","","","",""
"באר־שבעdle","ליאל ספורטס","90080","עמדה","אין בשום מקור","","15/16","-","15/16","-","","","","","","",""
"באר־שבעdle","ליאל ספורטס","90080","שנת לידה","אין בשום מקור","","15/16","-","15/16","-","","","","","","",""
"באר־שבעdle","מוחמד גדיר","4034","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 15/16 — ייתכן שאלה עונות השאלה","15/16-17/18","16/17-17/18","15/16-17/18","15/16-17/18","FW","FW","FW","1991","1991","1991",""
"באר־שבעdle","נועם גמון","","עונות","המאגר קצר מדי","חסרות 16/17-17/18, 19/20-20/21, 22/23-25/26","15/16, 18/19, 21/22","15/16-25/26","-","-","DF","DF","","1997","1997","","""נועם גמון"": { ""spells"": [[2016,2026]] }"
"באר־שבעdle","עומר בן שאנן","76680","עמדה","אין בשום מקור","","15/16","-","15/16","-","","","","","","",""
"באר־שבעdle","עומר בן שאנן","76680","שנת לידה","אין בשום מקור","","15/16","-","15/16","-","","","","","","",""
"באר־שבעdle","עמית ביטון","74751","עונות","סתירה","ויקיפדיה מוסיפה 16/17-18/19 · המאגר מוסיף 15/16","15/16, 19/20-20/21","16/17-20/21","15/16, 19/20-20/21","19/20-20/21","DF","DF","DF","1996","1996","1996",""
"באר־שבעdle","עמראן אלקרינאוי","108097","עמדה","אין בשום מקור","","15/16","-","15/16","-","","","","","","",""
"באר־שבעdle","עמראן אלקרינאוי","108097","שנת לידה","אין בשום מקור","","15/16","-","15/16","-","","","","","","",""
"באר־שבעdle","שיר צדק","36621","עונות","המאגר קצר מדי","חסרות 20/21","15/16-19/20","15/16-20/21","15/16-19/20","15/16-19/20","DF","DF","DF","1989","1989","1989","""36621"": { ""spells"": [[2016,2021]] }"
"באר־שבעdle","אור דדיה","99101","עונות","סתירה","ויקיפדיה מוסיפה 17/18-18/19, 24/25-25/26 · המאגר מוסיף 16/17","16/17, 19/20-23/24","17/18-25/26","16/17, 19/20-23/24","16/17, 19/20-23/24","DF","DF","DF","1997","1997","1997",""
"באר־שבעdle","איתמר שבירו","116054","עונות","המאגר קצר מדי","חסרות 18/19-19/20","16/17-17/18, 20/21","16/17-20/21","17/18, 20/21","16/17-17/18, 20/21","FW","FW","FW","1998","1998","1998","""116054"": { ""spells"": [[2017,2021]] }"
"באר־שבעdle","יואל גנון","77463","עמדה","אין בשום מקור","","16/17","-","16/17","-","","","","","","",""
"באר־שבעdle","יואל גנון","77463","שנת לידה","אין בשום מקור","","16/17","-","16/17","-","","","","","","",""
"באר־שבעdle","מיחאלי קורהוט","178430","עמדה","אין בשום מקור","","16/17-17/18","-","16/17-17/18","-","","","","","","",""
"באר־שבעdle","מיחאלי קורהוט","178430","שנת לידה","אין בשום מקור","","16/17-17/18","-","16/17-17/18","-","","","","","","",""
"באר־שבעdle","מיכאל אוחנה","68383","עמדה","סתירה","מאגר: FW · ויקיפדיה: MF · worldfootball: FW","16/17-18/19","16/17-18/19","16/17-18/19","16/17-18/19","FW","MF","FW","1995","1995","1995",""
"באר־שבעdle","ניב זריהן","50070","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 16/17 — ייתכן שאלה עונות השאלה","16/17-19/20","17/18-19/20","16/17-19/20","16/17-19/20","FW","FW","FW","1994","1994","1994",""
"באר־שבעdle","עמית גבאי","87673","עמדה","אין בשום מקור","","16/17","-","16/17","-","","","","","","",""
"באר־שבעdle","עמית גבאי","87673","שנת לידה","אין בשום מקור","","16/17","-","16/17","-","","","","","","",""
"באר־שבעdle","איסק קואנקה","","עמדה","סתירה","מאגר: FW · ויקיפדיה: MF","17/18","17/18","-","-","FW","MF","","1991","1991","",""
"באר־שבעdle","בנימין נתן","116071","עמדה","אין בשום מקור","","17/18","-","17/18","-","","","","","","",""
"באר־שבעdle","בנימין נתן","116071","שנת לידה","אין בשום מקור","","17/18","-","17/18","-","","","","","","",""
"באר־שבעdle","גיא מלמד","17151","עמדה","יש מקור, לא נכנס","ויקיפדיה: FW","17/18","17/18","17/18","-","","FW","","","1992","","""17151"": { ""pos"": ""FW"" }"
"באר־שבעdle","גיא מלמד","17151","שנת לידה","יש מקור, לא נכנס","ויקיפדיה: 1992","17/18","17/18","17/18","-","","FW","","","1992","","""17151"": { ""born"": 1992 }"
"באר־שבעdle","דור אלו","47321","עונות","המאגר קצר מדי","חסרות 19/20","17/18-18/19","17/18-19/20","17/18-18/19","17/18-18/19","DF","DF","DF","1993","1993","1993","""47321"": { ""spells"": [[2018,2020]] }"
"באר־שבעdle","ואדים מנזון","","עונות","סתירה","ויקיפדיה מוסיפה 18/19 · המאגר מוסיף 17/18","17/18","18/19","-","-","FW","","","1994","1994","",""
"באר־שבעdle","חאתם אלחמיד","74274","עונות","סתירה","ויקיפדיה מוסיפה 22/23 · המאגר מוסיף 20/21","17/18-18/19, 20/21-21/22","17/18-18/19, 21/22-22/23","17/18-18/19, 20/21-21/22","17/18-18/19, 20/21-21/22","DF","DF","DF","1991","1991","1991",""
"באר־שבעdle","חואן לופז","189498","עמדה","אין בשום מקור","","17/18","-","17/18","-","","","","","","",""
"באר־שבעdle","חואן לופז","189498","שנת לידה","אין בשום מקור","","17/18","-","17/18","-","","","","","","",""
"באר־שבעdle","חנן ממן","2187","עונות","סתירה","ויקיפדיה מוסיפה 19/20 · המאגר מוסיף 17/18","17/18-18/19","18/19-19/20","17/18-18/19","17/18-18/19","MF","MF","MF","1989","1989","1989",""
"באר־שבעdle","יונתן אליאס","136371","עמדה","אין בשום מקור","","17/18","-","17/18","-","","","","","","",""
"באר־שבעdle","יונתן אליאס","136371","שנת לידה","אין בשום מקור","","17/18","-","17/18","-","","","","","","",""
"באר־שבעdle","מנזון ואדים","201036","עמדה","אין בשום מקור","","17/18","-","17/18","-","","","","","","",""
"באר־שבעdle","מנזון ואדים","201036","שנת לידה","אין בשום מקור","","17/18","-","17/18","-","","","","","","",""
"באר־שבעdle","מרואן כבהא","6465","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 17/18 — ייתכן שאלה עונות השאלה","17/18-20/21","18/19-20/21","17/18-20/21","-","MF","","","1991","","",""
"באר־שבעdle","מרואן כבהא","6465","זהות","שני ערכים באותו שם","בוויקיפדיה יש יותר מערך אחד בשם הזה — אין תיקון אוטומטי","17/18-20/21","18/19-20/21","17/18-20/21","-","MF","","","1991","","",""
"באר־שבעdle","מתן כהן","116652","עמדה","אין בשום מקור","","17/18","-","17/18","-","","","","","","",""
"באר־שבעdle","מתן כהן","116652","שנת לידה","אין בשום מקור","","17/18","-","17/18","-","","","","","","",""
"באר־שבעdle","עמית קרן","83632","עמדה","אין בשום מקור","","17/18-18/19, 20/21","-","17/18-18/19, 20/21","-","","","","","","",""
"באר־שבעdle","עמית קרן","83632","שנת לידה","אין בשום מקור","","17/18-18/19, 20/21","-","17/18-18/19, 20/21","-","","","","","","",""
"באר־שבעdle","שי שטרית","116072","עמדה","אין בשום מקור","","17/18","-","17/18","-","","","","","","",""
"באר־שבעdle","שי שטרית","116072","שנת לידה","אין בשום מקור","","17/18","-","17/18","-","","","","","","",""
"באר־שבעdle","אריאל הרוש","21721","עונות","המאגר קצר מדי","חסרות 19/20-20/21","18/19, 21/22-22/23","18/19-22/23","18/19, 21/22-22/23","18/19, 21/22-22/23","GK","GK","GK","1988","1988","1988","""21721"": { ""spells"": [[2019,2023]] }"
"באר־שבעdle","חיים אוחנה","126391","עמדה","אין בשום מקור","","18/19","-","18/19","-","","","","","","",""
"באר־שבעdle","חיים אוחנה","126391","שנת לידה","אין בשום מקור","","18/19","-","18/19","-","","","","","","",""
"באר־שבעdle","חן עזרא","22596","עמדה","סתירה","מאגר: FW · ויקיפדיה: MF · worldfootball: FW","18/19","18/19","18/19","18/19","FW","MF","FW","1989","1989","1989",""
"באר־שבעdle","נייג'ל האסלביינק","189529","עונות","המאגר קצר מדי","חסרות 19/20","18/19","18/19-19/20","18/19","-","FW","FW","","1990","1990","","""189529"": { ""spells"": [[2019,2020]] }"
"באר־שבעdle","ניר איצקוביץ","126362","עמדה","אין בשום מקור","","18/19","-","18/19","-","","","","","","",""
"באר־שבעdle","ניר איצקוביץ","126362","שנת לידה","אין בשום מקור","","18/19","-","18/19","-","","","","","","",""
"באר־שבעdle","עדן בן בסט","7208","עונות","המאגר קצר מדי","חסרות 19/20","18/19","18/19-19/20","18/19","18/19","FW","FW","FW","1986","1986","1986","""7208"": { ""spells"": [[2019,2020]] }"
"באר־שבעdle","עילאי טרוסט","87697","עונות","סתירה","ויקיפדיה מוסיפה 19/20-21/22 · המאגר מוסיף 18/19","18/19","19/20-21/22","18/19","-","MF","MF","","1999","1999","",""
"באר־שבעdle","קווין טאפוקו","202129","עונות","סתירה","ויקיפדיה מוסיפה 19/20-20/21 · המאגר מוסיף 18/19","18/19","19/20-20/21","18/19","-","MF","MF","","1994","1994","",""
"באר־שבעdle","תומר יוספי","120686","עונות","סתירה","ויקיפדיה מוסיפה 22/23-23/24 · המאגר מוסיף 18/19","18/19-21/22","19/20-23/24","18/19-21/22","18/19-21/22","MF","MF","MF","1999","1999","1999",""
"באר־שבעdle","אדיר פיטוסי","158601","עמדה","אין בשום מקור","","19/20","-","19/20","-","","","","","","",""
